COUNTY_NAME,POPULATION,STATE
"TWIGGS COUNTY, GA",9023,GA
"UNION COUNTY, GA",21356,GA
"UPSON COUNTY, GA",27153,GA
"WALKER COUNTY, GA",68756,GA
"WALTON COUNTY, GA",83768,GA
"WARE COUNTY, GA",36312,GA
"WARREN COUNTY, GA",5834,GA
"WASHINGTON COUNTY, GA",21187,GA
"WAYNE COUNTY, GA",30099,GA
"WEBSTER COUNTY, GA",2799,GA
"WHEELER COUNTY, GA",7421,GA
"WHITE COUNTY, GA",27144,GA
"WHITFIELD COUNTY, GA",102599,GA
"WILCOX COUNTY, GA",9255,GA
"WILKES COUNTY, GA",10593,GA
"WILKINSON COUNTY, GA",9563,GA
"WORTH COUNTY, GA",21679,GA
"ADA COUNTY, ID",392365,ID
"ADAMS COUNTY, ID",3976,ID
"BANNOCK COUNTY, ID",82839,ID
"BEAR LAKE COUNTY, ID",5986,ID
"BENEWAH COUNTY, ID",9285,ID
"BINGHAM COUNTY, ID",45607,ID
"BLAINE COUNTY, ID",21376,ID
"BOISE COUNTY, ID",7028,ID
"BONNER COUNTY, ID",40877,ID
"BONNEVILLE COUNTY, ID",104234,ID
"BOUNDARY COUNTY, ID",10972,ID
"BUTTE COUNTY, ID",2891,ID
"CAMAS COUNTY, ID",1117,ID
"CANYON COUNTY, ID",188923,ID
"CARIBOU COUNTY, ID",6963,ID
"CASSIA COUNTY, ID",22952,ID
"CLARK COUNTY, ID",982,ID
"CLEARWATER COUNTY, ID",8761,ID
"CUSTER COUNTY, ID",4368,ID
"ELMORE COUNTY, ID",27038,ID
"FRANKLIN COUNTY, ID",12786,ID
"FREMONT COUNTY, ID",13242,ID
"GEM COUNTY, ID",16719,ID
"GOODING COUNTY, ID",15464,ID
"IDAHO COUNTY, ID",16267,ID
"JEFFERSON COUNTY, ID",26140,ID
"JEROME COUNTY, ID",22374,ID
"KOOTENAI COUNTY, ID",138494,ID
"LATAH COUNTY, ID",37244,ID
"LEMHI COUNTY, ID",7936,ID
"LEWIS COUNTY, ID",3821,ID
"LINCOLN COUNTY, ID",5208,ID
"MADISON COUNTY, ID",37536,ID
"MINIDOKA COUNTY, ID",20069,ID
"NEZ PERCE COUNTY, ID",39265,ID
"ONEIDA COUNTY, ID",4286,ID
"OWYHEE COUNTY, ID",11526,ID
